chapter,order,path_old,filename_old,slug,path_new,title,h1,group,source_id,n_figures,figures,issues,notes
01-probability,1,01-probability/59. Bernoulli Probability Mass Function & Moments.md,59. Bernoulli Probability Mass Function & Moments.md,bernoulli-pmf-moments,01-probability/bernoulli-pmf-moments.qmd,PMF Bernoulli và các moment,PMF Bernoulli và các moment,probability,59,1,59-bernoulli-pmf.svg,ampersand;spaces,
01-probability,2,01-probability/60. Binomial Probability Mass Function.md,60. Binomial Probability Mass Function.md,binomial-pmf,01-probability/binomial-pmf.qmd,PMF nhị thức (Binomial),PMF nhị thức (Binomial),probability,60,1,60-binomial-pmf.svg,spaces,
01-probability,3,01-probability/62. Geometric Probability Mass Function & Mean.md,62. Geometric Probability Mass Function & Mean.md,geometric-pmf-mean,01-probability/geometric-pmf-mean.qmd,PMF hình học (Geometric) và kỳ vọng,PMF hình học (Geometric) và kỳ vọng,probability,62,1,62-geometric-pmf.svg,ampersand;spaces,
01-probability,4,01-probability/61. Poisson Probability Mass Function & Cumulative...md,61. Poisson Probability Mass Function & Cumulative...md,poisson-pmf-cdf,01-probability/poisson-pmf-cdf.qmd,PMF & CDF Poisson,PMF Poisson và hàm phân phối tích lũy,probability,61,1,61-poisson-pmf.svg,truncated;ampersand;spaces,MUST_FIX filename
01-probability,5,01-probability/83_Bootstrap-Mean-Confidence-Interval.md,83_Bootstrap-Mean-Confidence-Interval.md,bootstrap-mean-ci,01-probability/bootstrap-mean-ci.qmd,Bootstrap: trung bình và khoảng tin cậy,Bootstrap: trung bình và khoảng tin cậy,probability,83,1,83-bootstrap-ci.svg,underscore-id,MUST_FIX filename
02-statistics,1,"02-statistics/63. Mean, Median, Mode.md","63. Mean, Median, Mode.md",mean-median-mode,02-statistics/mean-median-mode.qmd,"Mean, Median, Mode","Mean, Median, Mode",statistics,63,1,63-mean-vs-median-outlier.svg,spaces,
02-statistics,2,02-statistics/64. Sample Variance & Standard Deviation.md,64. Sample Variance & Standard Deviation.md,sample-variance-and-standard-deviation,02-statistics/sample-variance-and-standard-deviation.qmd,Phương sai mẫu & độ lệch chuẩn,Phương sai mẫu & độ lệch chuẩn,statistics,64,1,64-sample-variance.svg,ampersand;spaces,
02-statistics,3,02-statistics/65. Percentiles-Quantiles.md,65. Percentiles-Quantiles.md,percentiles-quantiles,02-statistics/percentiles-quantiles.qmd,Percentile / Quantile,Percentile / Quantile,statistics,65,1,65-five-number-summary.svg,spaces,
02-statistics,4,02-statistics/42. Compute Pearson Correlation Matrix.md,42. Compute Pearson Correlation Matrix.md,pearson-correlation-matrix,02-statistics/pearson-correlation-matrix.qmd,Ma trận tương quan Pearson,Ma trận tương quan Pearson,statistics,42,1,42-pearson-scatter.svg,spaces,
02-statistics,5,02-statistics/24. Compute Silhouette Score.md,24. Compute Silhouette Score.md,silhouette-score,02-statistics/silhouette-score.qmd,Điểm silhouette,Điểm silhouette,statistics,24,1,24-silhouette-clusters.svg,spaces,
02-statistics,6,02-statistics/66. Chi-Square Test.md,66. Chi-Square Test.md,chi-square-test,02-statistics/chi-square-test.qmd,Kiểm định Chi-Square,Kiểm định Chi-Square,statistics,66,1,66-chi-square-table.svg,spaces,
02-statistics,7,02-statistics/67. One-Sample t-Test.md,67. One-Sample t-Test.md,one-sample-t-test,02-statistics/one-sample-t-test.qmd,Kiểm định t một mẫu,Kiểm định t một mẫu,statistics,67,2,![67-t-statistic.svg](figures/67-t-statistic.svg;67-t-statistic.svg,spaces,CONTENT_FIX: broken img src (figures/![...]...) — sửa pha 2/3
